,district,age,men,women
0,adm,0.0,853.0,787.0
1,adm,1.0,727.0,708.0
2,adm,2.0,795.0,2259.0
3,adm,3.0,883.0,862.0
4,adm,4.0,883.0,862.0
5,adm,5.0,883.0,862.0
6,adm,6.0,1017.0,948.0
7,adm,7.0,866.0,951.0
8,adm,8.0,790.0,747.0
9,adm,9.0,790.0,747.0
10,adm,10.0,790.0,747.0
11,adm,11.0,790.0,747.0
12,adm,12.0,790.0,747.0
13,adm,13.0,790.0,747.0
14,adm,14.0,611.0,539.0
15,adm,15.0,611.0,539.0
16,adm,16.0,605.0,571.0
17,adm,17.0,605.0,571.0
18,adm,18.0,758.0,644.0
19,adm,19.0,758.0,644.0
20,adm,20.0,682.0,655.0
21,adm,21.0,682.0,655.0
22,adm,22.0,682.0,655.0
23,adm,23.0,682.0,655.0
24,adm,24.0,682.0,655.0
25,adm,25.0,955.0,875.0
26,adm,26.0,955.0,875.0
27,adm,27.0,955.0,875.0
28,adm,28.0,955.0,875.0
29,adm,29.0,955.0,875.0
30,adm,30.0,2026.0,1638.0
31,adm,31.0,2026.0,1638.0
32,adm,32.0,2026.0,1638.0
33,adm,33.0,2026.0,1638.0
34,adm,34.0,2026.0,1638.0
35,adm,35.0,1423.0,1413.0
36,adm,36.0,1423.0,1413.0
37,adm,37.0,1423.0,1413.0
38,adm,38.0,1423.0,1413.0
39,adm,39.0,1423.0,1413.0
40,adm,40.0,1103.0,1212.0
41,adm,41.0,1103.0,1212.0
42,adm,42.0,1103.0,1212.0
43,adm,43.0,1103.0,1212.0
44,adm,44.0,1103.0,1212.0
45,adm,45.0,951.0,1070.0
46,adm,46.0,951.0,1070.0
47,adm,47.0,951.0,1070.0
48,adm,48.0,951.0,1070.0
49,adm,49.0,951.0,1070.0
50,adm,50.0,890.0,1110.0
51,adm,51.0,890.0,1110.0
52,adm,52.0,890.0,1110.0
53,adm,53.0,890.0,1110.0
54,adm,54.0,890.0,1110.0
55,adm,55.0,816.0,1106.0
56,adm,56.0,816.0,1106.0
57,adm,57.0,816.0,1106.0
58,adm,58.0,816.0,1106.0
59,adm,59.0,816.0,1106.0
60,adm,60.0,793.0,1210.0
